Name,Remember %,Apply %,Evaluate %,Unknown %
AI-Introduction: Fundamental Issues,1,0,0,0
AI-Search: Search,0.182,0.364,0.455,0
AI-KRR: Fundamental Knowledge Representation and Reasoning,0.2,0.6,0,0.2
AI-ML: Machine Learning,0.529,0.235,0.118,0.118
AI-SEP: Applications and Societal Impact,0.333,0.333,0,0.333
AI-LRR: Logical Representation and Reasoning,0.615,0.385,0,0
AI-Probability: Probabilistic Representation and Reasoning,0.667,0.111,0.222,0
AI-Planning: Planning,0,0.25,0.5,0.25
AI-Agents: Agents and Cognitive Systems,0.8,0,0.2,0
AI-NLP: Natural Language Processing,0.667,0.333,0,0
AI-Robotics: Robotics,0.364,0.455,0.091,0.091
AI-Vision: Perception and Computer Vision,0.273,0.545,0.091,0.091
AL-Foundational: Foundational Data Structures and Algorithms,0.583,0,0,0.417
AL-Strategies: Algorithmic Strategies,0.333,0,0.111,0.556
AL-Complexity: Complexity,0.45,0.15,0.1,0.3
AL-Models: Computational Models and Formal Languages,0.613,0.065,0.032,0.29
"AL-SEP: Society, Ethics, and the Profession",0.667,0,0.167,0.167
AR-Logic: Digital Logic and Digital Systems,0.5,0.167,0.333,0
AR-Representation: Machine-Level Data Representation,1,0,0,0
AR-Assembly: Assembly Level Machine Organization,0.444,0.444,0.111,0
AR-Memory: Memory Hierarchy,0.25,0.5,0,0.25
AR-IO: Interfacing and Communication,0.667,0.333,0,0
AR-Organization: Functional Organization,0.2,0.6,0.2,0
AR-Performance-Energy: Performance and Energy Efficiency,0.286,0.429,0.143,0.143
AR-Heterogeneity: Heterogeneous Architectures,0.667,0.167,0,0.167
AR-Security: Secure Processor Architectures,0.8,0.2,0,0
AR-Quantum: Quantum Architectures,0.5,0.375,0,0.125
AR-SEP: Sustainability Issues,0,0,0,1
DM-Data: The Role of Data and the Data Life Cycle,0,0,0,1
DM-Core: Core Database System Concepts,0.444,0.111,0.333,0.111
DM-Modeling: Data Modeling,0.4,0.6,0,0
DM-Relational: Relational Databases,0.625,0.25,0.125,0
DM-Querying: Query Construction,0.4,0.2,0.4,0
DM-Processing: Query Processing,0.333,0.111,0.111,0.444
DM-Internals: DBMS Internals,0.667,0.333,0,0
DM-NoSQL: NoSQL Systems,0.5,0,0.5,0
DM-Security: Data Security and Privacy,0.6,0.2,0.2,0
DM-Analytics: Data Analytics,0.667,0.333,0,0
"DM-SEP: Society, Ethics, and the Profession",1,0,0,0
FPL-OOP: Object-Oriented Programming,0.273,0.636,0.091,0
FPL-Functional: Functional Programming,0.154,0.615,0.154,0.077
FPL-Logic: Logic Programming,0,1,0,0
FPL-Scripting: Shell Scripting,0,0.5,0.5,0
FPL-Event-Driven: Event-Driven and Reactive Programming,0.5,0.5,0,0
FPL-Parallel: Parallel and Distributed Computing,0.375,0.375,0,0.25
FPL-Types: Type Systems,0.722,0.111,0.056,0.111
FPL-Systems: Systems Execution and Memory Model,1,0,0,0
FPL-Translation: Language Translation and Execution,0.375,0.5,0,0.125
FPL-Abstraction: Program Abstraction and Representation,0.571,0.429,0,0
FPL-Syntax: Syntax Analysis,0.25,0.75,0,0
FPL-Semantics: Compiler Semantic Analysis,0.333,0.333,0,0.333
FPL-Analysis: Program Analysis and Analyzers,0.6,0.2,0.2,0
FPL-Code: Code Generation,0.833,0,0,0.167
FPL-Run-Time: Run-time Behavior and Systems,0.857,0.143,0,0
FPL-Constructs: Advanced Programming Constructs,0.667,0.333,0,0
FPL-Pragmatics: Language Pragmatics,0.4,0.4,0,0.2
FPL-Formalism: Formal Semantics,0.167,0.667,0.167,0
FPL-Methodologies: Formal Development Methodologies,0.2,0.8,0,0
FPL-Design: Design Principles of Programming Languages,0,0,0,1
"FPL-SEP: Society, Ethics, and the Profession",0,0,0,1
GIT-Fundamentals: Fundamental Concepts,0.357,0.357,0.214,0.071
GIT-Visualization: Visualization,0.143,0.571,0.286,0
GIT-Rendering: Applied Rendering and Techniques,0.214,0.5,0.214,0.071
GIT-Modeling: Geometric Modeling,0,0.286,0.714,0
GIT-Shading: Shading and Advanced Rendering,0.5,0.5,0,0
GIT-Animation: Computer Animation,0,0.667,0,0.333
GIT-Simulation: Simulation,0,1,0,0
GIT-Immersion: Immersion,0.25,0.25,0.5,0
GIT-Interaction: Interaction,0,0.143,0.714,0.143
GIT-Image: Image Processing,0,0.6,0.2,0.2
GIT-Physical: Tangible/Physical Computing,0,0.167,0.583,0.25
"GIT-SEP: Society, Ethics, and the Profession",1,0,0,0
HCI-User: Understanding the User: Individual goals and interactions with others,0.3,0.2,0.2,0.3
HCI-Accountability: Accountability and Responsibility in Design,0.625,0,0.375,0
HCI-Accessibility: Accessibility and Inclusive Design,0.545,0.182,0,0.273
HCI-Evaluation: Evaluating the Design,0.5,0,0.375,0.125
HCI-Design: System Design,0.273,0,0.273,0.455
"HCI-SEP: Society, Ethics, and the Profession",0.2,0,0.6,0.2
MSF-Discrete: Discrete Mathematics,0.293,0.415,0.024,0.268
MSF-Probability: Probability,0.435,0.304,0,0.261
MSF-Statistics: Statistics,0.25,0.214,0.143,0.393
MSF-Linear: Linear Algebra,0.491,0.246,0.018,0.246
MSF-Calculus,0.207,0.379,0,0.414
NC-Fundamentals: Fundamentals,0.75,0.25,0,0
NC-Applications: Networked Applications,0.5,0.5,0,0
NC-Reliability: Reliability Support,0.75,0,0.25,0
NC-Routing: Routing and Forwarding,1,0,0,0
NC-SingleHop: Single Hop Communication,1,0,0,0
NC-Security: Network Security,0.667,0.333,0,0
NC-Mobility: Mobility,1,0,0,0
NC-Emerging: Emerging Topics,1,0,0,0
OS-Purpose: Role and Purpose of Operating Systems,0.75,0,0.25,0
OS-Principles: Principles of Operating System,0.5,0.375,0.125,0
OS-Concurrency: Concurrency,0.833,0,0,0.167
OS-Protection: Protection and Safety,1,0,0,0
OS-Scheduling: Scheduling,0.5,0.125,0.25,0.125
OS-Process: Process Model,0.8,0.2,0,0
OS-Memory: Memory Management,0.571,0,0.143,0.286
OS-Devices: Device management,0.857,0,0,0.143
OS-Files: File Systems API and Implementation,0.333,0.333,0.333,0
OS-Advanced-Files: Advanced File systems,0.778,0.111,0,0.111
OS-Virtualization: Virtualization,0.6,0,0.2,0.2
OS-Real-time: Real-time and Embedded Systems,0.8,0,0,0.2
OS-Faults: Fault tolerance,0.833,0,0,0.167
"OS-SEP: Society, Ethics, and the Profession",0.75,0.25,0,0
PDC-Programs: Programs,0.2,0.6,0,0.2
PDC-Communication: Communication,0.308,0.385,0,0.308
PDC-Coordination: Coordination,0,0.778,0,0.222
PDC-Evaluation: Evaluation,0.462,0.077,0,0.462
PDC-Algorithms: Algorithms,0,0.444,0.333,0.222
SDF-Fundamentals: Fundamental Programming Concepts and Practices,0.067,0.2,0.6,0.133
SDF-Data-Structures: Fundamental Data Structures,0.5,0.5,0,0
SDF-Algorithms: Algorithms,1,0,0,0
SDF-Practices: Software Development Practices,0.2,0.6,0.2,0
"SDF-SEP: Society, Ethics, and the Profession",0,0,0,1
SE-Teamwork: Teamwork,0.2,0.1,0.2,0.5
SE-Tools: Tools and Environments,1,0,0,0
SE-Requirements: Product Requirements,0.5,0.2,0.2,0.1
SE-Design: Software Design,0.385,0.077,0.385,0.154
SE-Construction: Software Construction,0.417,0.417,0,0.167
SE-Validation: Software Verification and Validation,0.656,0.188,0.094,0.062
SE-Refactoring: Refactoring and Code Evolution,0.25,0,0.25,0.5
SE-Reliability: Software Reliability,0.875,0,0,0.125
SE-Formal: Formal Methods,0.667,0.333,0,0
SEC-Foundations: Foundational Security,0.25,0.125,0.375,0.25
"SEC-SEP: Society, Ethics, and the Profession",0,0.4,0.6,0
SEP-Context: Social Context,0.727,0.182,0,0.091
SEP-Ethical-Analysis: Methods for Ethical Analysis,0.2,0.5,0.2,0.1
SEP-Professional-Ethics: Professional Ethics,0.714,0.071,0.071,0.143
SEP-IP: Intellectual Property,0.647,0.235,0.059,0.059
SEP-Privacy: Privacy and Civil Liberties,0.625,0.125,0.25,0
SEP-Communication: Communication,0.444,0.111,0.444,0
SEP-Sustainability: Sustainability,0.5,0.125,0.375,0
