Name,Remember %,Apply %,Evaluate %,Unknown %
Cybersecurity Fundamentals,90.0%,10.0%,0.0%,0.0%
IT Systems Components,100.0%,0.0%,0.0%,0.0%
Basic Scripting and Programming Fundamentals,40.0%,60.0%,0.0%,0.0%
Math Fundamentals,25.0%,75.0%,0.0%,0.0%
"AI Governance, Laws, and Ethics",50.0%,25.0%,25.0%,0.0%
AI Fundamentals,71.4%,14.3%,14.3%,0.0%
Machine Learning Fundamentals,50.0%,37.5%,12.5%,0.0%
Computer Science Foundations,50.0%,33.3%,16.7%,0.0%
Advanced Math for AI,50.0%,33.3%,16.7%,0.0%
Securing the AI Lifecycle,16.7%,50.0%,33.3%,0.0%
Machine Learning Algorithms,33.3%,66.7%,0.0%,0.0%
Deep Learning,37.5%,37.5%,25.0%,0.0%
Adversarial Learning,33.3%,50.0%,16.7%,0.0%
Risk Management of AI,0.0%,42.9%,57.1%,0.0%
"Model Selection, Evaluation, and Specification",12.5%,25.0%,62.5%,0.0%
