Key,Name,Remember %,Apply %,Evaluate %,Unknown %
PLE,"Policy, Legal, Ethics, and Compliance",0.8,0.2,0,0.00%
OST,Operating Systems Theory,1,0,0,0.00%
SPP,Secure Programming Practices,0.6,0.4,0,0.00%
BNW,Basic Networking,0.333,0.667,0,0.00%
CCR,Cyber Crime,0,0.667,0.333,0.00%
NTP,Network Technology and Protocols,1,0,0,0.00%
RFP,Radio Frequency (RFP) Principles,1,0,0,0.00%
ALG,Algorithms,1,0,0,0.00%
ACR,Advanced Cryptography,0.5,0,0.5,0.00%
NTP,Network Technology and Protocols,1,0,0,0.00%
QAT,Quality Assurance (QA)/Functional Testing,0,0.5,0.5,0.00%
FPM,Fraud Prevention and Management,0.857,0.143,0,0.00%
EBS,Embedded Systems,0.4,0,0.6,0.00%
OSC,Operating Systems Concepts,0.75,0.25,0,0.00%
SPP,Secure Programming Practices,0.6,0.4,0,0.00%
ICS,Industrial Control Systems,0.833,0.167,0,0.00%
SPG,Systems Programming,0,0.5,0.5,0.00%
PBE,Pre-OS Boot Environment,1,0,0,0.00%
ISC,IT Systems Components,0.857,0.143,0,0.00%
PRI,Privacy,0.25,0.75,0,0.00%
CSE,Cybersecurity Ethics,0.5,0.333,0.167,0.00%
CSF,Cybersecurity Fundamentals,0.9,0.1,0,0.00%
NDF,Network Defense,0.5,0.25,0.25,0.00%
VLA,Vulnerability Analysis,0.2,0.6,0.2,0.00%
WAS,Web Application Security,0.667,0.333,0,0.00%
HOF,Host Forensics,0.75,0.25,0,0.00%
FAC,Forensic Accounting,0.75,0.25,0,0.00%
CSP,Cybersecurity Principles,0.6,0.4,0,0.00%
DAT,Databases,0.667,0.333,0,0.00%
CCO,Cloud Computing,0.75,0.25,0,0.00%
SPM,Security Program Management,0,0.75,0.25,0.00%
OSH,Operating Systems Hardening,0.333,0.333,0.333,0.00%
THI,Threat Intelligence,0.429,0.571,0,0.00%
IAA,IA Architectures,0,0.5,0.5,0.00%
SRE,Software Reverse Engineering,0,1,0,0.00%
CPS,Cyber-Physical Systems,0.333,0.667,0,0.00%
SCA,Systems Certification and Accreditation,1,0,0,0.00%
IAS,IA Standards,0.6,0.4,0,0.00%
IDR,Independent/Directed Study/Research,0,0,0,100.00%
CTH,Cyber Threats,0.5,0.25,0.25,0.00%
IAC,Information Assurance (IA) Compliance,0,0.5,0.5,0.00%
IDS,Intrusion Detection/Prevention Systems,0,1,0,0.00%
DCO,Digital Communications,0.667,0.333,0,0.00%
SCS,Supply Chain Security,1,0,0,0.00%
HFS,Hardware/Firmware Security,0.8,0.2,0,0.00%
BCD,Business Continuity and Disaster Recovery,0.4,0.4,0.2,0.00%
DMS,Database Management Systems,0.333,0.5,0.167,0.00%
DBA,Data Administration,0.4,0.6,0,0.00%
SRA,Security Risk Analysis,0.8,0,0.2,0.00%
ANT,Advanced Network Technology and Protocols,0.667,0,0.333,0.00%
DST,Data Structures,0.5,0.5,0,0.00%
HRE,Hardware Reverse Engineering,0,1,0,0.00%
NSA,Network Security Administration,0.143,0.286,0.571,0.00%
DVF,Device Forensics,0.667,0.333,0,0.00%
MOT,Mobile Technologies,1,0,0,0.00%
FMD,Formal Methods,0.5,0.5,0,0.00%
MEF,Media Forensics,0.667,0.333,0,0.00%
THI,Threat Intelligence,0.429,0.571,0,0.00%
PTT,Penetration Testing,0.25,0.25,0.5,0.00%
WSN,Wireless Sensor Networks,0.333,0.667,0,0.00%
SSE,Systems Security Engineering,0,1,0,0.00%
BCY,Basic Cryptography,1,0,0,0.00%
NWF,Network Forensics,0.333,0.667,0,0.00%
DFS,Digital Forensics,0.6,0.4,0,0.00%
BCO,Basic Cyber Operations,0.8,0.2,0,0.00%
AAL,Advanced Algorithms,1,0,0,0.00%
CPM,Cybersecurity Planning and Management,0.167,0.333,0.5,0.00%
ITC,Introduction to Theory of Computation,1,0,0,0.00%
LLP,Low Level Programming,0.5,0.5,0,0.00%
ATC,Analog Telecommunications,1,0,0,0.00%
LCS,Life-Cycle Security,1,0,0,0.00%
BSP,Basic Scripting and Programming,0.167,0.833,0,0.00%
SSA,Software Security Analysis,0.5,0.5,0,0.00%
